id;categoria_id;categoria;referencia;descricao;tipo;disponibilidade;imagem;galeria;slug;quantidade;estoque;status;estoque_minimo;valor_atacado;valor_compra;valor_unitario;valor_custo;preco_promocional;ipi;percentual_custo;margem_lucro;ativo;destaque;novo;mais_vendido;visualizacoes;ultima_visualizacao;rating;total_avaliacoes;data_compra;ultima_atualizacao_estoque;deleted_at;created_at;updated_at;fornecedor
1;NULL;AUDIO E VIDEO / PLUGS;1;Jack Usb para som Pioneer Original;UNI;DISPONÍVEL;produtos/1.png;NULL;1-p10-mono-plastico-preto;1000;5;ativo;5;3,9;1,2;2,8;1,7612241;NULL;9,75;33,73;NULL;1;0;0;0;0;NULL;0.00;0;30/09/2024;NULL;NULL;2026-08-18 13:38:03;2026-08-21 05:05:56;ALIEXPRESS
2;NULL;AUDIO E VIDEO / PLUGS;3;Voltimetro Digital 3 FIOS VERMELHO;UNI;DISPONÍVEL;produtos/3.png;NULL;3-p10-stereo-plastico-preto;1000;0;ativo;5;13;7,4;13;7,4;NULL;0;0;NULL;1;0;0;0;7;2026-08-23 13:02:59;0.00;0;27/11/2025;NULL;NULL;2026-08-18 13:38:03;2026-08-23 13:02:59;SHOPEE
3;NULL;AUDIO E VIDEO / PLUGS;5;Voltimetro + Amperimetro;UNI;DISPONÍVEL;produtos/5.png;NULL;5-p10-stereo-plastico-vermelho;1000;0;ativo;5;20;8,9382;NULL;12,4599741;NULL;5;20,03;NULL;1;0;0;0;0;NULL;0.00;0;03/09/2026;NULL;NULL;2026-08-18 13:38:03;2026-08-23 13:40:04;NWT
4;NULL;AUDIO E VIDEO / PLUGS;6;DECODER MP3 COM BT E RADIO S/ AMPLIFICAÇÃO ;UNI;INDISPONIVEL;produtos/6.png;NULL;6-p10-mono-metal-niquel-com-mol;1000;0;ativo;5;26;13,43;32;13,43;NULL;0;0;NULL;1;0;0;0;1;2026-08-23 13:03:12;0.00;0;20/11/2025;NULL;NULL;2026-08-18 13:38:03;2026-08-23 13:03:12;aliexpress
5;NULL;AUDIO E VIDEO / PLUGS;7;Receptor de audio BT 5.0 MP3;UNI;INDISPONIVEL;produtos/7.png;NULL;7-p10-stereo-metal-com-mola;1000;0;ativo;5;11,65;4,11;NULL;7,398;NULL;0;80;NULL;1;0;0;0;2;2026-08-23 14:50:37;0.00;0;17/11/2025;NULL;NULL;2026-08-18 13:38:03;2026-08-23 14:50:37;aliexpress
6;NULL;AUDIO E VIDEO / PLUGS;10;KBPC 5010;UNI;DISPONÍVEL;produtos/10.png;NULL;10-p10-mono-metal-tipo-ninja-sant;1000;0;ativo;5;6,85;3,6;6,7;4,608;NULL;0;28;NULL;1;0;0;0;0;NULL;0.00;0;15/06/2024;NULL;NULL;2026-08-18 13:38:03;2026-08-23 13:40:04;CX
7;NULL;AUDIO E VIDEO / PLUGS;11;Chicote 2 Vias   ;UNI;DISPONÍVEL;produtos/11.png;NULL;11-p10-mono-profissional-metal-pr;1000;0;ativo;5;6,5;;6,5;0;NULL;NULL;NULL;NULL;1;0;0;0;0;NULL;0.00;0;;NULL;NULL;2026-08-18 13:38:03;2026-08-21 05:05:56;
8;NULL;AUDIO E VIDEO / PLUGS;12;Chicote 3 Vias   ;UNI;DISPONÍVEL;produtos/12.png;NULL;12-p10-mono-profissional-metal-ve;1000;0;ativo;5;9,5;;9,5;0;NULL;NULL;NULL;NULL;1;0;0;0;0;NULL;0.00;0;;NULL;NULL;2026-08-18 13:38:03;2026-08-21 05:05:56;
9;NULL;AUDIO E VIDEO / PLUGS;13;Chicote 4 Vias   ;UNI;DISPONÍVEL;produtos/13.png;NULL;13-p10-mono-profissional-metal-az;1000;0;ativo;5;10;;10;0;NULL;NULL;NULL;NULL;1;0;0;0;0;NULL;0.00;0;;NULL;NULL;2026-08-18 13:38:03;2026-08-21 05:05:56;
10;NULL;AUDIO E VIDEO / PLUGS;14;Chicote 6 Vias   ;UNI;INDISPONIVEL;produtos/14.png;NULL;14-plug-p10-mono-preto-linha-diam;1000;0;ativo;5;11;;11;0;NULL;NULL;NULL;NULL;1;0;0;0;1;2026-08-24 04:52:56;0.00;0;;NULL;NULL;2026-08-18 13:38:03;2026-08-24 04:52:56;
